id,vocab,meaning,pronounce
C10,一つ,One Thing,ひとつ
C14,七,Seven,"なな, しち"
C15,七つ,Seven Things,ななつ
C31,九,Nine,"きゅう, く"
C32,九つ,Nine Things,ここのつ
C36,二,Two,に
C37,二つ,Two Things,ふたつ
C42,人,Person,ひと
C38,二人,"Two People, Pair, Couple, Two Persons",ふたり
C11,一人,"Alone, One Person",ひとり
C48,入る,"To Enter, To Go In",はいる
C50,八,Eight,はち
C51,八つ,Eight Things,やっつ
C54,力,"Power, Strength, Ability",ちから
C59,十,Ten,じゅう
C17,三,Three,さん
C18,三つ,Three Things,みっつ
C19,三人,"Three People, Three Persons",さんにん
C21,上,"Above, Up, Over",うえ
C22,上げる,"To Lift Something, To Raise Something, To Increase Something",あげる
C24,下,"Below, Under, Beneath, Down",した
C25,下げる,"To Lower Something, To Hang Something",さげる
C26,下さい,"Please Give Me, Please",ください
C62,口,Mouth,くち
C47,入り口,Entrance,いりぐち
C65,大きい,"Big, Large",おおきい
C66,大きさ,Size,おおきさ
C67,大した,"Great, Considerable, Important, Big Deal ",たいした
C68,大人,"Adult, Mature",おとな
C71,女,"Woman, Female",おんな
C74,山,Mountain,やま
C4,ふじ山,"Mt Fuji, Mount Fuji, Mt. Fuji ",ふじさん
C77,川,River,かわ
C43,人口,Population,じんこう
C44,人工,"Artificial, Man Made, Human Made ",じんこう
C55,力いっぱい,"With All One's Strength, Full Power, As Hard As One Can ",ちからいっぱい
C95,上る,"To Climb, To Go Up",のぼる
C170,左右,"Left And Right, Both Ways, Influence, Control",さゆう
C133,刀,"Sword, Katana",かたな
C149,土,"Soil, Earth, Ground, Dirt",つち
C139,千,Thousand,せん
C88,一千,One Thousand,いっせん
C152,夕べ,"Last Night, Evening ",ゆうべ
C162,子,"Kid, Child",こ
C157,女の子,"Girl, Young Girl, Young Lady, Young Woman",おんなのこ
C158,女子,"Girl, Woman",じょし
C166,小さい,"Small, Little",ちいさい
C103,丸,"Circle, Round, Circular ",まる
C104,丸い,"Circular, Round, Spherical ",まるい
C84,〜才,"Years Old, Age",さい
C100,中,"Inside, In, Middle, Center ",なか
C101,中々,"Very, Considerably, Quite",なかなか
C111,五,Five,ご
C115,五月,May,ごがつ
C114,五日,"Fifth Day, Day Five, Five Days",いつか
C113,五十,Fifty,ごじゅう
C112,五つ,Five Things,いつつ
C121,六,Six,ろく
C122,六つ,Six Things,むっつ
C124,六月,June,ろくがつ
C123,六日,"Sixth Day, Day Six, Six Days",むいか
C134,十六,Sixteen,じゅうろく
C83,〜円,"Yen, Japanese Yen",えん
C140,千円,"One Thousand Yen, A Thousand Yen, Thousand Yen ",せんえん
C127,円い,"Round, Circular",まるい
C155,天,Heaven,てん
C156,天才,Genius,てんさい
C175,手,"Hand, Arm ",て
C97,下手,"Unskillful, Unskilled, Bad At, Not Good At, Not Skilled ",へた
C96,上手,"Good At, Skillful, Skilled At, Skilled",じょうず
C179,文,"Writing, Sentence",ぶん
C181,日,"Sun, Day",ひ
C185,月,"Moon, Month",つき
C136,十月,October,じゅうがつ
C90,一月,January,いちがつ
C108,二月,February,にがつ
C187,木,"Tree, Wood",き
C197,水,Water,みず
C201,火,Fire,ひ
C202,火山,Volcano,かざん
C206,犬,Dog,いぬ
C163,子犬,Puppy,こいぬ
C212,王,King,おう
C214,王子,Prince,おうじ
C159,女王,Queen,じょおう
C213,王女,Princess,おうじょ
C129,出る,"To Exit, To Leave, To Attend, To Come Out, To Go Out ",でる
C130,出口,Exit,でぐち
C143,右,"Right Direction, Right",みぎ
C145,四,Four,"よん, し"
C146,四月,April,しがつ
C169,左,"Left Direction, Left",ひだり
C190,本,Book,ほん
C182,日本,Japan,"にほん, にっぽん"
C193,正しい,"Correct, True, Right",ただしい
C194,正す,To Correct,ただす
C208,玉,Ball,たま
C209,玉ねぎ,"Onion, Round Onion",たまねぎ
C217,田,"Rice Field, Rice Paddy",た
C220,白,White,しろ
C221,白人,"White Person, Caucasian ",はくじん
C224,目,Eye,め
C225,目玉,Eyeball,めだま
C229,立つ,"To Stand, To Stand Up, To Rise",たつ
C107,二日,"Second Day, Day Two, Two Days ",ふつか
C116,人々,"People, Everybody",ひとびと
C89,一日,"One Day, Day One, First Day","いちにち, ついたち"
C94,三日,"Third Day, Day Three, Three Days ",みっか
C93,七日,"Seventh Day, Day Seven, Seven Days",なのか
C105,九日,"Nine Days, Day Nine, Ninth Day",ここのか
C119,八日,"Eight Days, Day Eight, Eighth Day",ようか
C135,十日,"Ten Days, Day Ten, Tenth Day",とおか
C198,水中,Underwater,すいちゅう
C118,入力,"Input, Enter, Entry ",にゅうりょく
C260,元,"Origin, Ex, Former",もと
C313,広げる,"To Spread Something, To Unfold Something, To Open Something Up",ひろげる
C303,山びこ,"Echo, Mountain Echo ",やまびこ
C239,テーブルの上,"On The Table, Tabletop","てーぶるのうえ, テーブルのうえ"
C242,ベッドの下,"Under The Bed, Below The Bed, Beneath The Bed","べっどのした, ベッドのした"
C9078,日の出,Sunrise,ひので
C237,イギリス人,"British Person, Brit","いぎりすじん, イギリスじん"
C236,アメリカ人,American Person,"あめりかじん, アメリカじん"
C241,フランス人,"French Person, Frenchman","ふらんすじん, フランスじん"
C240,ビー玉,Marble,"びーだま, ビーだま"
C342,生まれる,To Be Born,うまれる
C341,生,"Fresh, Raw, Live ",なま
C243,一万,Ten Thousand,いちまん
C249,二万,Twenty Thousand,にまん
C294,大切,"Important, Precious, Valuable ",たいせつ
C275,十万,"One Hundred Thousand, Hundred Thousand",じゅうまん
C255,今,Now,いま
C256,今日,Today,きょう
C257,今月,"This Month, Current Month",こんげつ
C280,半分,Half,はんぶん
C269,分かる,"To Understand, To Be Understandable",わかる
C268,分,"Part, Portion, Content",ぶん
C271,切る,To Cut,きる
C282,友人,Friend,ゆうじん
C296,太い,"Fat, Thick",ふとい
C297,太る,"To Get Fat, To Gain Weight, To Grow Fat, To Become Fat",ふとる
C300,少し,"A Little, A Few, Few",すこし
C301,少ない,"Few, Scarce, Not Much, Not Many",すくない
C315,引く,"To Pull, To Subtract, To Attract ",ひく
C318,心,"Heart, Mind, Feeling",こころ
C322,戸口,Doorway,とぐち
C326,方,"Way, Direction","かた, ほう"
C328,止める,"To Stop Something, To Prevent Something",とめる
C248,中止,"Suspension, Cancellation, Discontinuation",ちゅうし
C333,毛,"Fur, Hair ",け
C336,父,"Father, Dad",ちち
