framenr,kanji,keyword,public,last_edited,story
1,一,"one",0,2016-06-30 06:19:09,"One down, 2041 to go. ;)"
2,二,"two",0,2016-06-30 06:19:17,"two lines"
3,三,"three",0,2015-12-16 15:05:38,"one + two = three."
4,四,"four",0,2016-06-30 06:19:52,"FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize."
5,五,"five",0,2016-06-30 06:22:35,"三 + two vertical lines = 5"
6,六,"six",0,2016-06-30 06:22:54,"Indicating 6 parts of the human body: head, body, 2 arms, 2 legs"
7,七,"seven",0,2016-06-30 06:25:08,"This kanji is our good old seven, turned upside down."
8,八,"eight",0,2016-06-30 06:25:35,"The volcano hasn't erupted for 8 years"
9,九,"nine",0,2016-06-30 06:26:57,"It looks like an elaborate letter ""n"" for nine."
10,十,"ten",0,2016-06-30 06:27:18,"Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees)."
11,口,"mouth",0,2016-06-30 06:27:41,"Looks like a huge open mouth"
12,日,"day",0,2016-06-30 06:28:20,"Open the window, new day."
13,月,"month",0,2016-06-30 06:29:15,"A month is longer than a day."
14,田,"rice field",0,2015-12-15 17:03:41,"A rice field divided into four parts."
15,目,"eye",0,2016-06-30 06:29:34,"目_目."
16,古,"old",0,2015-12-14 16:48:11,"tombstone and cross on an old man's grave."
17,吾,"I",0,2015-12-13 17:19:53,"I eat five times at day."
18,冒,"risk",0,2015-12-17 15:54:58,"Don't look at the sun directly with your eyes, it's risky!"
19,朋,"companion",0,2016-02-03 17:07:42,"My companion and I are like two moons side by side.
Mun and Minmus"
20,明,"bright",0,2016-07-08 03:01:53,"The sun makes the moon bright."
21,唱,"chant",0,2015-12-14 16:58:24,"Someone chanting with their mouth open for two consecutive days."
22,晶,"sparkle",0,2016-07-08 03:06:27,"A diamond sparkles as brightly as three suns."
23,品,"goods",0,2016-02-28 15:14:49,"*Three boxes* of goods are devoured by the hungry *mouths* of waiting consumers."
24,呂,"spine",0,2015-12-22 16:08:02,"spine connects head and body"
25,昌,"prosperous",0,2016-02-25 05:02:00,"If you work from Sun UP to Sun DOWN you will be prosperous."
26,早,"early",0,2015-12-23 02:30:31,"EARLY,  is when you have to start your *day* before *10*.."
27,旭,"rising sun",0,2015-12-25 17:30:11,"*Nine planets* revolve around our rising sun."
28,世,"generation",0,2016-01-02 15:49:33,"3 tens = generation."
29,胃,"stomach",0,2015-12-26 17:43:15,"The *rice field* is harvested once a *month* to get food for our stomach"
30,旦,"nightbreak",0,2018-12-13 06:51:44,"The sun is nightbreak(ing) on the floor. (The sun is break dancing)"
31,胆,"gall bladder",0,2016-07-07 08:12:29,"All the *month* long I have to start working at *nightbreak*. This really activates my gall bladder (=I get angry)"
32,亘,"span",0,2016-01-13 02:47:08,"The span of the day is the time between the sun goes up and comes down"
33,凹,"concave",0,2016-07-08 03:09:04,"Concave has a concave shape
Stroke order: I took a step down into the cave. A park ranger threw down a line to me from the opposite top ridge, then waited. My friend went down to the lowest passage to look for me, then the ranger threw another line down to her."
34,凸,"convex",0,2016-07-08 03:10:20,"Convex has a convex shape
Stroke order: think of questing forward, then climbing a huge vertical stroke, only to take an easy step down. (Remember the three segments of the step down are one stroke. There is no such equivalent for the step up, so you have to take it segment by segment.) The bottom is just like mouth."
35,旧,"olden times",0,2015-12-23 08:30:06,"Age 18 = olden times"
36,自,"oneself",0,2015-12-10 01:59:35,"To use an eyedropper by oneself, aim from *above* to put a *drop* into the *eye*."
37,白,"white",0,2016-07-08 03:11:57,"Even a small drop (') of the sun (日) would make you see nothing but white."
38,百,"hundred",0,2016-07-08 03:12:45,"That dirty ceiling was painted WHITE a hundred times!"
39,中,"in",0,2016-07-08 03:14:02,"I use chopsticks to put food in my mouth."
40,千,"thousand",0,2016-07-08 03:14:23,"It takes many drops of ten to get to a thousand."
41,舌,"tongue",0,2016-07-08 03:14:49,"What is in a *mouth* that permits it to speak a *thousand* things? Yes, a #tongue#."
42,升,"measuring box",0,2016-07-08 03:15:59,"A measuring box is a square wooden box that was used to measure one thousand grains of rice (needles)  in feudal Japan. It was supposed to be enough to feed a working man for one day."
43,昇,"rise up",0,2015-12-17 01:54:16,"This kanji does not mean ""get up"" or ""awake."" It means rising, like the rising of a salary, or a promotion. STORY: You know that your salary has RISEN UP when your MEASURING BOX has enough dollar bills in it to reach the SUN."
44,丸,"round",0,2015-12-31 14:07:29,"Cut the tail off of a 9 and it will be round."
45,寸,"measurement",0,2016-07-08 03:17:15,"Glue two sticks together to make the best measurement. (I always remember the primitive, but never the original keyword.)"
46,肘,"elbow",0,2014-08-09 09:16:55,"The elbow is the *flesh* that *glues* together the upper and lower arm."
47,専,"specialty",0,2015-03-06 16:26:47,"10 brains glued together allows you to specialize in any specialty that you want. Imagine each brain having its own specialty"
48,博,"Dr.",0,2016-07-08 03:20:37,"Note: Use #Ph.D.# rather than #Dr.# to avoid confusion with #doctor# and to be more in line with common use of this kanji.

*Ten* *specialities* grants you the title of #Ph.D.# with a *dot*."
49,占,"fortune-telling",0,2015-12-22 16:21:45,"Fortune-telling: using a mouth as a divining rod."
50,上,"above",0,2015-12-22 16:42:34,"A *magic wand* standing on above the floor."
51,下,"below",0,2016-07-08 03:19:20,"Roots are below the ground.
A magic wand hanging below the ceiling."
52,卓,"eminent",0,2015-12-23 07:52:56,"The most eminent magician is he who learned to use his *magic wand early* in life."
53,朝,"morning",0,2016-07-08 03:22:28,"There is mist as the moon fades away in the morning."
54,嘲,"derision",0,2014-08-09 08:52:14,"If *morning* breath emanates from your *mouth*, you are subject to derision!"
55,只,"only",0,2016-07-08 03:23:26,"Imagine an animal with only a *mouth* and *leg*s."
56,貝,"shellfish",0,2016-07-08 03:24:56,"Remove the *eyes* and the *legs*, and a shellfish tastes great!"
57,唄,"pop song",0,2014-08-09 08:56:09,"The new generation of #pop songs# have no depth.  They just *mouth* empty lyrics to get *money*.  Not like the  #pop songs# of my day."
58,貞,"upright",0,2015-12-23 07:53:29,"A *magic wand* is needed to make a *clam* stand upright."
59,員,"employee",0,2016-07-08 03:25:22,"An employee (#member# of the company) has to clam up his mouth if he wants keep the job!"
60,貼,"post a bill(stick)",0,2014-08-09 09:47:00,"Fortune teller writes your fortune on a piece of paper and tells you to affix it to a shell and throw into the ocean for it to come true.  Picture licking the back of the shell like a stamp and affixing it to the fortune."
61,見,"see",0,2015-12-22 16:44:54,"Eyes and legs are all you need to see the world."
62,児,"newborn babe",0,2015-12-28 15:23:40,"In the *olden times*, a newborn babe came out *leg*s first."
63,元,"beginning",0,2015-12-16 14:59:22,"In the beginning were just *two* who walked on *human legs*"
64,頁,"page",0,2015-12-28 15:30:50,"*One* *drop* of ink from a *shellfish* can fill a whole page."
65,頑,"stubborn",0,2023-09-13 11:49:57,"In the BEGINNING PAGES of the Bible, Adam and Eve are STUBBORN to eat the forbidden fruit."
66,凡,"mediocre",0,2015-12-23 02:33:54,"A *drop* of breeze is naught but a mediocre *wind*"
